	communities
1	1
2	0
3	1
4	1
5	1
6	0
7	1
8	0
9	1
10	1
11	2
13	1
14	1
15	0
16	34
17	1
18	0
19	1
20	0
21	2
22	2
23	1
24	1
25	1
26	6
27	1
28	1
29	1
30	2
31	37
32	15
33	1
34	0
35	1
36	1
37	1
38	1
39	1
40	1
41	32
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	2
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	3
70	0
71	1
72	38
73	3
74	2
75	2
76	1
77	2
78	0
79	1
80	2
81	2
82	2
83	0
84	36
85	1
86	1
87	2
88	2
89	2
90	4
91	2
92	1
93	1
94	2
95	2
96	1
97	0
98	28
99	2
100	0
101	2
102	2
103	2
104	39
105	2
106	0
107	2
108	1
109	0
110	1
111	1
112	19
113	1
115	0
118	0
120	0
124	0
125	0
126	0
127	0
128	2
129	2
130	0
131	2
132	2
134	0
135	0
136	2
137	2
138	0
139	2
140	0
141	0
142	0
143	2
144	0
145	0
146	0
147	0
148	2
149	0
150	0
152	0
153	0
154	0
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	0
163	0
164	0
165	0
166	0
167	0
168	14
169	17
170	0
171	0
172	0
173	0
174	0
175	12
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	3
190	0
191	2
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	1
204	0
205	1
206	1
207	1
208	1
209	0
211	1
212	1
214	1
215	0
216	1
217	0
218	0
219	2
220	1
221	0
222	35
223	1
224	2
225	1
226	1
227	1
228	0
229	1
230	1
231	24
232	1
233	18
234	23
235	1
236	1
237	30
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	31
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	2
262	1
263	1
264	10
265	1
266	1
267	1
268	1
269	3
270	1
271	0
272	0
273	1
274	0
275	2
276	1
277	2
278	2
279	2
280	2
281	2
282	13
283	1
284	1
285	0
286	1
287	1
288	2
289	1
290	22
291	1
292	1
293	2
294	1
295	1
296	1
297	1
298	1
299	2
300	2
301	16
302	1
303	2
304	29
305	27
306	2
307	1
308	2
309	2
310	2
311	2
312	1
313	0
314	1
315	1
316	1
317	1
318	1
324	0
325	0
327	0
332	0
333	2
334	2
335	2
336	2
337	2
338	0
339	0
340	2
341	0
342	0
343	0
344	0
345	2
346	2
347	2
348	0
349	2
350	2
351	0
352	0
353	2
354	2
355	20
356	0
357	0
358	0
359	0
360	2
361	7
362	1
363	5
364	0
365	2
366	0
367	0
368	0
369	21
370	1
371	0
372	1
373	0
374	1
375	0
376	0
377	8
378	2
379	26
380	0
381	0
382	0
383	0
384	33
385	0
386	0
387	2
388	0
389	0
390	0
391	11
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
504	0
505	9
506	2
507	0
508	0
509	0
511	1
515	0
516	25
517	2
518	0
519	0
521	2
601	0
602	0
603	0
604	0
605	0
606	0
