	communities
1	2
2	2
3	3
4	5
5	2
6	1
7	0
8	3
9	1
10	3
11	3
12	1
13	4
14	1
15	1
16	3
17	2
18	4
19	1
20	0
21	3
22	3
23	2
24	2
25	4
26	3
27	2
28	2
29	2
30	3
31	0
32	2
33	2
34	2
35	2
36	1
37	2
38	3
39	9
40	4
41	1
42	2
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	3
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	5
65	1
66	1
67	1
68	1
69	2
70	3
71	0
72	2
73	3
74	2
75	3
76	1
77	5
78	5
79	1
80	3
81	3
82	5
83	1
84	1
85	1
86	3
87	3
88	1
89	5
90	3
91	3
92	2
93	2
94	2
95	2
96	0
97	4
98	2
99	2
100	4
101	4
102	2
103	2
104	2
105	2
106	0
107	2
108	8
109	20
110	18
111	4
112	16
113	1
116	0
117	0
118	0
120	2
123	2
124	2
125	4
126	0
127	0
128	4
129	0
130	0
131	0
132	3
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	2
144	19
145	0
146	13
147	0
148	4
149	0
150	0
151	0
152	0
153	2
154	0
155	2
156	1
157	0
158	0
159	2
160	2
161	2
162	0
163	2
164	0
165	0
166	2
167	0
168	0
169	0
170	0
171	0
172	4
173	0
174	0
175	7
176	0
177	2
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	4
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	4
199	0
200	0
201	2
202	0
203	3
204	3
205	3
206	3
207	0
208	3
209	3
210	3
211	3
212	3
213	1
214	3
215	2
216	3
217	0
218	2
219	3
220	3
221	1
222	3
223	2
224	3
225	3
226	2
227	3
228	3
229	2
230	3
231	2
232	1
233	1
234	2
235	1
236	1
237	2
238	1
239	1
240	2
241	1
242	1
243	1
244	2
245	1
246	1
247	2
248	1
249	1
250	4
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	3
272	0
273	0
274	3
275	3
276	2
277	2
278	0
279	1
280	0
281	0
282	3
283	3
284	0
285	5
286	3
287	1
288	10
289	1
290	3
291	3
292	1
293	5
294	0
295	3
296	3
297	2
298	2
299	2
300	4
301	1
302	21
303	6
304	12
305	2
306	2
307	3
308	2
309	6
310	0
311	2
312	2
313	4
314	5
315	1
316	15
317	4
318	14
321	0
322	0
323	0
324	0
325	0
327	0
329	6
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	17
348	0
349	0
350	3
351	0
352	0
353	1
354	0
355	5
356	0
357	0
358	0
359	7
360	2
361	1
362	2
363	3
364	0
365	0
366	0
367	3
368	0
369	11
370	2
371	0
372	2
373	0
374	4
375	0
376	0
377	0
378	2
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	3
402	3
403	3
405	0
406	3
407	0
408	0
409	0
504	3
505	2
506	2
507	2
508	3
509	2
511	2
515	3
516	2
517	2
518	2
519	0
521	2
601	2
602	3
603	2
604	2
605	2
606	2
