	communities
2	3
3	1
4	1
5	1
6	1
7	3
8	1
9	1
10	1
11	1
12	1
13	3
15	1
16	4
17	1
18	1
19	1
20	3
21	4
22	4
23	1
24	1
25	1
26	4
27	1
28	1
29	1
30	4
31	1
33	3
35	0
36	0
37	3
38	0
39	0
41	0
42	0
45	0
48	0
49	0
50	0
53	0
54	0
55	0
56	0
58	0
60	0
61	0
62	0
63	0
64	0
65	3
66	0
67	0
69	3
70	1
71	1
72	3
73	1
74	1
75	1
76	6
77	0
78	1
79	0
80	4
81	1
82	1
83	4
84	1
85	0
87	0
88	0
89	0
90	5
92	0
93	0
96	3
97	3
98	0
99	0
101	0
102	0
103	5
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
115	1
119	3
122	3
123	3
124	3
126	3
127	1
129	2
130	2
131	0
132	0
133	3
134	3
135	2
137	2
138	2
140	1
141	5
143	5
144	4
145	2
146	0
147	2
148	2
151	1
153	3
154	2
155	5
157	2
158	3
159	3
160	2
161	1
162	2
164	2
165	2
167	1
168	3
169	2
171	2
172	9
173	2
174	2
176	2
177	0
178	2
179	2
180	2
181	2
183	1
184	1
187	4
188	6
189	2
190	4
191	4
192	3
193	0
194	0
195	2
196	2
197	2
198	2
199	2
200	2
201	3
202	3
203	1
204	1
205	1
206	1
207	3
208	1
209	1
210	1
211	1
212	1
213	1
214	4
215	1
216	1
217	1
218	1
219	4
220	3
221	1
222	1
223	1
224	4
225	4
226	1
227	1
228	4
229	1
230	1
231	0
232	2
233	0
234	0
235	0
236	0
237	0
238	5
239	0
240	0
241	0
242	0
243	0
244	0
245	7
246	2
247	1
248	4
249	1
250	0
251	6
252	4
253	1
254	0
255	7
256	0
257	0
258	4
259	0
260	0
261	0
262	2
263	0
264	0
265	3
266	3
267	0
268	0
269	0
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	6
282	1
283	1
284	1
285	4
286	1
287	4
288	1
289	1
290	0
291	8
292	4
293	1
294	1
295	4
296	5
297	0
298	0
299	0
300	0
301	1
302	3
303	0
304	0
305	0
306	0
307	0
308	0
309	1
310	0
311	0
312	0
313	0
314	4
315	4
316	0
317	0
318	0
319	2
320	1
321	1
322	1
323	2
324	2
325	3
326	3
327	3
328	3
329	3
331	3
332	2
333	2
334	1
335	1
336	6
337	2
338	2
339	1
340	5
341	2
342	2
343	2
344	1
345	5
346	1
347	1
348	0
349	2
350	1
351	2
352	2
353	2
354	2
355	0
356	4
357	2
358	0
359	0
360	0
361	2
362	1
363	3
364	2
365	2
366	2
367	3
368	3
369	5
370	2
371	5
372	1
373	1
374	5
375	2
376	1
377	5
378	0
379	2
380	2
381	2
382	2
383	2
384	0
385	2
386	2
387	2
388	2
389	2
390	2
391	2
392	4
393	3
394	4
395	2
396	2
397	2
398	2
399	2
400	2
401	3
402	3
403	3
404	3
405	3
406	3
407	3
408	3
409	3
410	3
504	0
505	5
506	0
507	3
508	3
509	3
511	5
515	0
516	5
517	0
518	0
519	3
521	3
601	3
602	3
603	3
604	0
605	3
606	3
