	communities
1	4
2	4
3	5
4	1
5	1
6	3
7	4
8	1
9	1
10	1
11	1
12	0
13	4
14	1
15	1
16	1
17	1
18	1
19	3
20	3
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	7
33	8
34	3
35	3
36	3
37	3
38	3
39	3
40	3
41	3
42	3
43	3
44	3
45	3
46	9
47	3
48	13
49	2
50	5
51	3
52	3
53	5
54	2
55	2
56	2
57	5
58	1
59	5
60	1
61	3
62	3
63	3
64	2
65	3
66	3
67	3
68	3
69	0
70	1
71	7
72	0
73	1
74	2
75	1
76	1
77	2
78	1
79	1
80	1
81	1
82	1
83	2
84	2
85	2
86	2
87	2
88	1
89	2
90	2
91	7
92	3
93	5
94	2
95	2
96	0
97	4
98	2
99	0
100	2
101	2
102	2
103	2
104	2
105	2
106	2
107	2
108	2
109	2
110	2
111	2
112	2
113	2
115	4
117	4
119	3
120	5
121	4
123	4
124	4
125	4
126	4
127	0
128	2
129	0
130	0
131	2
132	2
133	0
134	4
135	0
136	0
137	2
138	0
139	0
140	0
141	1
142	2
143	0
144	1
145	2
146	4
147	2
148	0
149	0
150	0
151	0
152	4
153	4
154	0
155	14
156	5
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	4
167	4
168	4
169	4
170	0
171	0
172	5
173	0
174	0
175	5
176	0
177	2
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	5
190	3
191	0
192	0
193	2
194	0
195	0
196	0
197	0
198	6
199	0
200	0
201	4
202	4
203	1
204	3
205	1
206	1
207	4
208	1
209	1
210	3
211	1
212	1
213	1
214	1
215	1
216	3
217	1
218	3
219	1
220	1
221	1
222	3
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	4
234	2
235	3
236	3
237	3
238	3
239	3
240	3
241	3
243	3
244	3
247	3
248	3
249	3
250	11
251	3
252	3
253	3
254	2
255	3
256	3
257	3
258	3
259	3
260	2
261	3
262	2
263	3
264	3
265	3
266	2
267	3
268	3
269	3
270	3
271	4
272	1
273	3
274	1
275	1
276	3
277	1
278	1
279	1
280	1
281	2
282	1
283	1
284	1
285	1
286	1
287	2
288	1
289	3
290	3
291	1
292	2
293	1
294	0
295	3
296	3
297	3
298	3
299	2
300	2
301	3
302	4
303	2
304	8
305	3
306	2
307	2
308	3
309	8
310	2
311	2
312	2
313	2
314	10
315	2
316	2
317	2
318	0
323	4
325	4
326	4
327	4
328	4
329	3
330	4
331	4
332	0
333	2
334	1
335	2
336	6
337	0
338	0
340	0
341	7
343	0
346	0
347	1
348	2
349	1
350	1
351	0
352	0
353	1
354	0
355	2
356	1
357	6
358	2
359	12
360	0
361	0
362	3
363	3
364	0
365	6
366	0
367	4
368	4
369	4
370	4
372	0
373	0
374	3
375	0
376	4
377	4
378	2
379	4
380	0
381	0
382	0
383	0
384	2
385	0
386	0
387	0
388	2
389	0
390	0
391	0
392	1
393	6
394	0
395	0
396	0
397	0
398	0
399	0
400	6
401	3
402	6
403	1
404	6
405	0
406	2
407	0
408	0
409	0
410	0
504	2
505	2
506	2
507	2
508	4
509	4
511	4
515	2
516	2
517	2
518	2
519	4
521	4
601	7
602	4
603	2
604	4
605	4
606	4
