	communities
1	2
2	2
3	2
4	46
5	2
6	2
7	0
8	2
9	2
10	2
11	2
12	2
13	2
14	2
15	2
16	61
17	2
18	2
19	2
20	0
21	2
22	2
23	2
24	2
25	2
26	0
27	2
28	2
29	2
30	2
31	2
32	50
33	34
34	24
35	53
36	63
37	23
38	18
39	4
40	67
41	4
42	69
43	11
44	19
45	49
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	0
64	1
65	1
66	1
67	1
68	1
70	2
71	2
72	0
73	2
74	1
75	2
76	1
77	1
78	2
79	1
80	1
81	5
82	5
83	6
84	9
85	0
86	1
87	1
88	1
89	1
90	1
91	3
92	17
93	4
94	1
95	4
96	4
97	4
98	4
99	3
100	4
101	4
102	4
103	70
104	28
105	1
106	4
107	4
108	1
109	1
110	1
111	44
112	35
113	1
115	3
116	25
118	6
120	2
124	4
125	4
126	0
127	48
128	3
129	3
130	3
131	3
132	3
134	3
135	3
136	3
137	3
138	3
139	3
140	3
141	3
142	3
143	4
144	0
145	0
146	3
147	5
148	3
149	0
150	0
152	0
153	21
154	0
155	0
156	51
157	30
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	71
167	3
168	0
169	0
170	7
171	3
172	3
173	0
174	40
175	3
176	0
177	5
178	3
179	0
180	3
181	0
182	3
183	0
184	0
185	3
186	0
187	0
188	3
189	1
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	3
199	0
200	0
201	52
202	2
203	2
204	2
205	2
206	2
207	0
208	2
209	2
210	2
211	2
212	2
213	2
214	4
215	2
216	0
217	0
218	2
219	2
220	2
221	2
222	2
223	2
224	0
225	2
226	2
227	2
228	0
229	2
230	2
231	45
232	0
233	47
234	15
235	12
236	38
237	0
238	0
239	8
240	10
241	72
242	1
243	65
244	13
245	62
246	14
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
272	4
273	0
274	0
275	2
276	1
277	2
278	1
279	1
280	2
281	1
282	2
283	1
284	2
285	2
286	2
287	5
288	5
289	1
290	1
291	1
292	1
293	60
294	4
295	68
296	5
297	55
298	33
299	1
300	4
301	41
302	4
303	4
304	27
305	66
306	32
307	4
308	1
309	4
310	39
311	1
312	1
313	56
314	1
315	26
316	1
317	1
318	1
321	0
322	1
324	0
332	3
333	3
334	2
335	1
336	3
337	3
338	0
340	31
341	3
342	0
343	3
344	3
345	6
346	3
347	58
348	59
349	3
350	57
351	5
352	3
353	2
354	0
355	1
356	2
357	0
358	6
359	3
360	16
361	3
362	0
363	0
364	0
365	2
366	0
368	0
369	4
370	0
371	0
372	0
373	3
374	0
375	0
376	0
377	4
378	37
379	0
380	0
381	6
382	0
383	64
384	29
385	0
386	0
387	3
388	0
389	0
390	0
391	5
392	0
393	0
394	0
395	0
396	0
397	0
398	3
399	0
400	0
401	20
402	54
403	2
404	1
405	2
406	36
407	2
408	3
409	3
504	4
505	3
506	3
507	43
508	2
509	0
511	1
515	4
516	42
517	22
518	4
519	0
521	1
601	0
602	4
603	0
604	0
605	0
606	0
