	0
1	Default
2	Vis
3	Default
13	Vis
6	Default
12	SomMot
4	SomMot
8	SomMot
16	SomMot
10	SomMot
7	DorsAttn
0	Default
5	Cont
19	DorsAttn
11	DorsAttn
15	SalVentAttn
9	Cont
18	DorsAttn
14	SalVentAttn
17	subcortical
