	communities
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	0
11	1
12	1
13	4
14	1
15	1
16	4
17	1
18	1
19	1
20	1
21	0
22	4
23	1
24	1
25	0
26	4
27	1
28	1
29	1
30	0
31	1
32	0
33	4
34	0
35	0
36	0
37	4
38	0
39	6
40	0
41	0
42	0
43	2
44	6
45	6
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	1
70	1
71	4
72	1
73	1
74	0
75	5
76	0
77	5
78	5
79	0
80	5
81	1
82	5
83	0
84	0
85	0
86	5
87	5
88	0
89	5
90	2
91	7
92	0
93	2
94	0
95	0
96	4
97	4
98	6
99	2
100	2
101	2
102	0
103	0
104	0
105	0
106	2
107	2
108	0
109	0
110	0
111	0
112	0
113	0
115	3
116	3
117	3
119	4
120	2
121	4
122	4
123	4
124	4
125	3
126	4
127	1
128	5
129	5
130	5
131	5
132	5
133	4
134	3
135	3
136	2
137	7
138	3
139	6
140	2
141	7
142	2
143	2
144	5
145	5
146	2
147	3
148	2
149	4
150	4
151	4
152	4
153	4
154	4
155	4
156	4
157	4
158	4
159	4
160	1
161	1
162	7
163	7
164	5
165	7
166	3
167	3
168	3
169	3
170	7
171	3
172	2
173	3
174	3
175	6
176	3
177	2
178	3
179	3
180	3
181	2
182	2
183	2
184	2
185	2
186	2
187	2
188	2
189	2
190	5
191	1
192	3
193	3
194	5
195	3
196	3
197	5
198	6
199	3
200	5
202	4
203	1
204	1
205	1
206	1
207	4
208	1
209	1
210	1
211	1
212	0
213	1
214	1
215	1
216	1
217	1
218	1
219	0
220	1
221	1
222	1
223	1
224	1
225	0
226	1
227	1
228	0
229	0
230	1
231	2
232	2
234	2
235	2
237	3
239	0
240	3
241	2
243	3
250	0
254	0
257	0
258	1
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	1
273	4
274	5
275	1
277	1
278	1
279	6
280	1
281	3
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	9
295	3
302	2
303	2
304	2
305	2
306	1
307	2
308	2
309	2
311	2
312	0
313	0
314	2
315	0
316	0
317	0
318	0
320	2
323	1
327	2
329	2
331	4
334	1
336	3
337	3
340	1
342	3
343	3
344	3
346	1
347	5
350	3
355	6
356	5
357	5
358	3
359	2
360	2
361	2
362	3
363	1
364	3
366	3
369	2
370	2
371	10
372	2
374	4
375	2
376	3
378	2
379	3
380	3
381	3
382	3
384	2
385	3
387	3
391	2
392	1
393	3
394	1
395	3
396	3
397	3
398	3
399	3
400	5
401	4
402	4
403	4
404	4
405	4
406	4
407	4
408	4
409	4
410	4
504	8
505	2
506	2
507	2
508	4
509	4
511	5
515	2
516	2
517	2
518	2
519	2
521	1
601	2
602	2
603	2
604	2
605	2
606	2
