	communities
1	1
2	8
3	1
4	1
5	1
6	1
7	0
8	1
9	1
10	1
11	1
12	1
13	4
14	1
15	1
16	4
17	1
18	1
19	1
20	4
21	4
22	4
23	1
24	1
25	4
26	4
27	1
28	1
29	1
30	4
31	1
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	21
45	0
46	0
47	2
48	0
49	0
50	24
51	17
52	25
53	14
54	3
55	3
56	26
57	22
58	3
59	23
60	18
61	3
62	19
63	3
64	3
65	15
66	12
67	3
68	13
69	1
70	1
71	1
72	1
73	1
74	3
75	1
76	3
77	1
78	1
79	1
80	1
81	10
82	1
83	1
84	1
85	3
86	1
87	3
88	1
89	3
90	0
91	0
92	0
93	0
94	3
95	5
96	11
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	2
107	0
108	0
109	3
110	0
111	4
112	2
113	2
115	0
117	0
118	0
119	0
120	0
121	2
123	3
124	0
125	3
126	2
127	1
128	3
129	2
130	2
131	2
132	3
133	1
134	5
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	2
143	0
144	1
145	2
146	0
147	2
148	0
149	2
150	2
151	2
152	2
153	0
154	2
155	0
156	0
157	0
158	20
159	27
160	1
161	1
162	2
163	2
164	2
165	2
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	2
180	2
181	2
182	2
183	2
184	2
185	2
186	3
187	3
188	2
189	2
190	2
191	2
192	2
193	2
194	2
195	2
196	2
197	2
198	2
199	2
200	2
201	1
202	7
204	1
205	1
206	1
207	9
208	1
209	1
210	1
211	1
212	1
213	1
214	4
215	1
216	1
217	4
218	1
219	1
220	1
221	1
222	1
223	1
224	4
225	1
226	1
227	1
228	4
229	1
230	1
233	0
234	4
235	0
236	0
238	0
239	0
240	0
241	0
243	0
250	3
254	3
255	3
256	3
257	1
258	1
259	1
260	3
261	3
262	1
263	3
264	3
265	1
266	3
267	1
268	3
269	3
270	1
271	1
273	1
274	1
275	1
277	1
278	1
279	3
280	1
281	1
282	1
283	1
284	1
285	2
286	1
287	1
288	1
289	1
290	3
291	1
292	3
295	1
297	3
305	0
307	0
311	0
312	0
313	2
314	3
315	2
316	3
317	3
318	3
323	4
324	0
325	0
327	0
329	0
334	1
335	3
336	1
337	2
355	1
356	2
357	2
358	2
359	0
360	0
361	0
362	1
363	1
364	1
366	2
372	2
374	0
379	0
381	0
382	0
384	0
385	0
387	0
389	2
390	2
391	2
392	2
393	2
394	2
395	2
396	2
397	2
398	2
399	2
400	2
401	16
402	4
403	1
404	1
405	1
406	1
407	2
408	2
409	2
410	2
504	0
505	2
506	0
507	2
508	6
509	0
511	4
515	2
516	0
517	0
518	0
519	0
521	1
601	0
602	1
603	0
604	0
605	0
606	0
