	communities
1	0
2	4
3	0
4	0
5	0
6	4
7	4
8	6
9	4
10	6
11	0
12	5
13	1
14	0
15	5
16	3
17	0
18	0
19	5
20	5
21	5
22	5
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	1
31	1
32	3
33	3
34	3
35	3
36	3
37	3
38	3
39	3
40	3
41	1
42	3
43	6
44	0
45	6
46	0
47	0
48	0
49	1
50	0
51	0
52	0
53	0
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	7
70	0
71	0
72	0
73	0
74	0
75	0
76	6
77	0
78	1
79	7
80	1
81	0
82	1
83	0
84	1
85	1
86	0
87	0
88	0
89	5
90	6
91	0
92	3
93	5
94	0
95	5
96	6
97	3
98	3
99	2
100	3
101	3
102	3
103	3
104	3
105	3
106	2
107	3
108	6
109	1
110	3
111	1
112	1
113	3
116	4
117	4
118	2
119	4
120	8
121	6
122	4
123	4
124	2
125	11
126	9
127	0
128	0
129	2
130	1
131	1
132	7
133	4
134	1
135	2
136	2
137	3
138	2
139	2
140	2
141	2
142	2
143	2
144	1
145	0
146	3
147	5
149	4
150	4
151	4
152	4
153	3
154	2
155	5
156	7
157	7
158	2
159	10
160	0
161	0
162	2
163	2
164	2
165	2
166	2
167	2
168	2
169	3
170	3
171	2
172	3
173	2
174	2
175	3
177	3
178	2
179	2
180	2
181	2
182	2
183	2
184	2
185	6
186	2
187	2
189	3
190	2
191	5
192	2
193	1
194	2
195	2
196	2
197	1
199	2
200	1
202	4
203	0
204	0
205	0
206	0
207	1
208	0
209	0
210	0
211	0
212	0
213	2
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	8
228	0
229	0
230	0
232	1
233	3
234	3
235	1
236	3
237	3
239	0
240	3
241	3
242	1
243	3
244	1
246	1
247	1
250	1
254	1
260	1
262	1
263	1
264	1
265	1
267	1
268	1
269	1
270	1
271	6
272	7
273	6
274	8
275	0
277	0
279	9
280	0
281	7
282	0
283	1
284	0
285	0
287	1
288	0
291	1
293	7
294	1
295	3
297	3
298	3
302	1
303	2
304	1
305	2
306	3
307	3
308	3
309	3
312	4
313	1
314	2
315	1
316	1
317	3
320	4
322	4
324	2
327	4
330	1
331	8
334	0
336	5
337	2
340	2
341	8
343	2
347	2
350	2
356	0
357	0
358	1
359	3
360	3
362	3
363	8
365	7
367	4
370	4
371	1
372	7
373	1
374	7
375	4
379	3
380	2
381	2
382	2
384	3
385	2
388	2
390	2
392	0
393	0
394	0
395	2
396	2
397	1
399	0
400	0
401	4
402	4
403	4
404	4
405	4
406	2
407	4
408	2
409	2
410	4
504	3
505	2
506	3
507	3
508	4
509	4
511	1
515	4
516	2
517	2
518	4
519	4
601	4
602	4
603	4
604	2
605	2
606	2
