	0
0	Default
1	Vis
4	Default
3	SomMot
28	SomMot
11	SomMot
19	SomMot
25	SomMot
30	SomMot
35	SomMot
41	SomMot
2	Default
39	DorsAttn
16	SalVentAttn
10	SalVentAttn
17	SalVentAttn
12	SalVentAttn
21	Cont
5	Default
22	Default
40	Default
37	Default
9	Default
31	SomMot
15	SomMot
27	SomMot
33	SomMot
13	SomMot
24	SomMot
7	SomMot
42	SalVentAttn
23	SalVentAttn
29	SalVentAttn
14	SalVentAttn
26	SalVentAttn
20	Limbic
18	Cont
34	Default
8	Default
32	Default
36	Default
38	Default
6	subcortical
