	communities
1	0
2	2
3	0
4	0
5	0
6	0
7	2
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	0
44	3
45	3
46	3
47	3
48	3
49	1
50	0
51	0
52	3
53	0
54	0
55	15
56	27
57	0
58	3
59	0
60	0
61	1
62	33
63	7
64	0
65	17
66	3
67	0
68	76
70	2
71	2
72	1
73	0
74	1
75	2
76	2
77	3
78	2
79	2
80	2
81	2
82	2
83	0
84	0
85	3
86	8
87	3
88	1
89	9
90	2
91	3
92	1
93	1
94	1
95	1
96	1
97	24
98	55
99	1
100	20
101	1
102	1
103	1
104	1
105	1
106	3
107	1
108	25
109	1
110	41
111	3
112	1
113	46
121	0
123	6
124	35
125	19
126	0
127	2
128	2
129	1
130	2
131	2
132	2
133	2
134	2
135	2
136	2
137	2
138	2
139	52
140	22
141	2
142	23
143	1
144	0
145	2
146	2
147	2
148	64
149	1
150	2
151	2
152	2
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	2
162	1
163	1
164	2
165	2
166	65
167	2
168	2
169	1
170	1
171	2
172	1
173	1
174	1
175	1
176	75
177	1
178	71
179	18
180	29
181	32
182	60
183	21
184	26
185	1
186	30
187	36
188	1
189	1
190	14
191	1
192	2
193	2
194	1
195	1
196	2
197	2
198	1
199	45
200	1
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	1
232	1
233	1
234	3
235	1
236	0
237	1
238	1
239	1
240	3
241	1
242	1
243	1
244	4
245	1
246	0
247	3
248	0
249	3
250	61
251	3
252	0
253	3
254	42
255	0
256	0
257	0
258	3
259	0
260	0
261	3
262	0
263	1
264	0
265	3
266	43
267	0
268	0
269	0
270	0
271	0
272	2
273	1
274	2
275	0
276	3
277	0
278	2
279	3
280	2
281	2
282	2
283	3
284	2
285	3
286	2
287	38
288	2
289	0
290	3
291	3
292	3
293	49
294	2
295	1
296	1
297	1
298	1
299	1
300	1
301	16
302	62
303	1
304	44
305	50
306	1
307	1
308	1
309	1
310	11
311	1
312	12
313	3
314	4
315	73
316	0
317	5
318	31
322	2
323	1
324	0
328	47
332	2
333	2
334	2
335	2
336	2
337	2
338	2
340	1
341	2
342	2
343	2
344	1
345	13
346	0
347	28
348	2
349	10
350	2
351	63
352	2
353	4
354	2
355	68
356	3
357	2
358	2
359	2
360	1
361	69
362	1
363	1
364	1
365	2
366	2
367	2
368	2
369	53
370	1
371	2
372	1
373	2
374	1
375	39
376	2
377	2
378	1
379	2
380	2
381	1
382	2
383	2
384	1
385	70
386	74
387	37
388	2
389	54
390	2
391	1
392	40
393	2
394	1
395	2
396	2
397	2
398	2
399	2
400	2
401	0
402	0
403	0
404	56
405	57
406	58
407	72
408	34
409	59
410	51
504	0
505	67
506	1
507	1
508	0
509	0
515	0
516	48
517	1
518	0
519	66
521	1
601	1
602	1
603	4
604	1
605	0
606	1
