	communities
1	1
2	1
3	2
4	2
5	2
6	2
7	1
8	2
9	2
10	2
11	2
12	2
13	1
14	2
15	2
16	2
17	2
18	2
19	2
20	3
21	2
22	13
23	2
24	2
25	2
26	3
27	2
28	2
29	2
30	2
31	2
32	1
33	1
34	1
35	1
36	6
37	1
38	12
39	1
40	4
41	6
42	1
43	4
44	8
45	16
46	10
47	4
48	2
49	7
50	4
51	2
52	2
53	2
54	4
55	4
56	4
57	2
58	4
59	4
60	4
61	4
62	3
63	4
64	4
65	4
66	4
67	4
68	0
69	2
70	2
71	2
72	1
73	5
74	7
75	3
76	7
77	5
78	2
79	19
80	2
81	2
82	2
83	3
84	4
85	4
86	4
87	4
88	2
89	4
90	2
91	11
92	1
93	1
94	5
95	1
96	1
97	1
98	1
99	5
100	1
101	5
102	5
103	7
104	1
105	4
106	5
107	0
108	15
109	4
110	4
111	4
112	2
113	4
115	1
116	1
118	1
119	1
120	1
121	1
123	1
124	1
125	1
126	1
127	3
128	5
129	5
130	5
131	5
132	5
133	1
134	1
135	5
136	5
137	5
138	5
139	5
140	9
141	2
142	5
143	1
144	3
145	3
146	0
147	5
148	0
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	2
158	1
159	1
160	1
161	3
162	2
163	6
164	3
165	5
166	1
167	1
168	1
169	1
170	1
171	5
172	6
173	6
174	5
175	6
176	5
177	0
178	0
179	0
180	5
181	3
182	4
183	0
184	4
185	4
186	4
187	3
188	0
189	0
190	3
191	3
192	3
193	3
194	3
195	3
196	3
197	3
198	3
199	3
200	3
201	1
202	1
203	2
205	3
206	2
207	3
209	2
211	2
212	2
214	3
215	2
216	5
217	3
218	2
219	2
220	2
221	2
222	0
223	2
224	2
225	2
226	2
227	0
228	2
229	2
230	0
231	0
233	0
234	0
235	0
236	0
239	0
240	6
241	0
242	0
243	0
245	0
250	0
252	0
254	0
255	4
256	4
257	4
258	0
259	4
260	2
261	0
262	0
263	4
264	4
265	0
266	4
267	0
268	4
269	4
270	0
271	2
273	2
275	0
277	2
278	2
279	2
280	2
281	0
282	2
283	18
284	0
285	3
286	0
287	3
288	2
289	0
290	0
291	0
292	0
293	0
295	1
296	2
297	1
298	6
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	3
314	0
315	3
316	14
317	0
318	0
320	0
321	1
322	1
324	1
325	1
327	1
328	1
329	0
331	1
334	0
336	0
337	0
338	3
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	3
357	3
358	3
359	0
360	0
361	0
362	3
363	0
364	6
365	2
366	0
367	1
368	1
369	0
370	0
371	1
372	0
373	1
374	6
375	0
376	0
377	0
378	0
379	0
380	1
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	3
393	3
394	3
395	3
396	3
397	3
398	3
399	3
400	3
401	1
402	1
403	1
404	1
405	5
406	1
407	1
408	1
409	1
410	1
504	5
505	17
506	5
507	5
508	1
509	1
511	1
515	0
516	0
517	0
518	0
519	0
521	0
601	0
602	0
603	0
604	1
605	1
606	1
