	0
2	SomMot
0	Vis
6	Vis
3	DorsAttn
8	Default
5	SalVentAttn
25	SalVentAttn
21	SalVentAttn
18	SalVentAttn
12	SalVentAttn
1	Default
4	Default
7	SalVentAttn
15	Cont
22	Default
16	Default
9	Default
17	SomMot
10	SomMot
19	SomMot
11	SalVentAttn
23	SalVentAttn
24	SalVentAttn
13	Limbic
26	Limbic
14	subcortical
20	subcortical
