	communities
1	42
2	1
3	0
4	0
5	0
6	4
7	1
8	22
9	0
10	0
11	0
12	2
13	0
14	6
15	4
16	0
17	0
18	0
19	2
20	0
21	0
22	0
23	43
24	0
25	0
26	0
27	0
28	4
29	0
30	0
31	0
32	24
33	35
34	31
35	2
36	0
37	39
38	34
39	0
40	0
41	0
42	2
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	30
59	0
60	0
61	19
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	2
70	2
71	0
72	32
73	0
74	2
75	13
76	0
77	2
78	38
79	0
80	2
81	41
82	2
83	2
84	2
85	0
86	2
87	2
88	2
89	5
90	2
91	2
92	0
93	29
94	0
95	2
96	2
97	1
98	2
99	2
100	25
101	2
102	2
103	2
104	0
105	2
106	1
107	2
108	0
109	2
110	2
111	10
112	1
113	16
118	1
121	8
124	1
125	1
127	0
128	2
129	1
130	1
131	1
132	2
133	2
134	1
135	1
136	2
137	1
138	1
139	2
140	2
141	2
142	1
143	2
144	0
145	1
146	2
147	2
148	2
149	1
152	1
153	33
154	7
155	0
156	12
157	17
158	0
159	40
160	0
161	2
162	1
163	1
164	1
165	1
166	1
167	2
168	1
170	3
171	1
172	3
173	1
174	1
175	3
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	4
187	2
188	1
189	3
190	0
191	0
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	3
204	0
205	0
206	0
207	1
208	0
209	3
210	0
211	0
212	0
213	1
214	0
215	0
216	0
217	0
218	4
219	0
220	0
221	2
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	18
232	11
233	0
234	28
235	0
236	3
237	0
238	26
239	0
240	0
241	0
242	0
243	0
244	0
245	27
246	0
247	0
248	0
249	0
250	2
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	15
267	0
268	0
269	0
270	0
271	2
272	2
273	0
274	0
275	0
276	0
277	0
278	2
279	0
280	2
281	2
282	0
283	0
284	2
285	1
286	2
287	1
288	2
289	0
290	2
291	2
292	0
293	2
294	2
295	20
296	1
297	0
298	0
299	2
300	2
301	36
302	2
303	2
304	2
305	2
306	2
307	0
308	2
309	2
310	1
311	2
312	2
313	2
314	2
315	2
316	2
317	23
318	1
332	1
333	1
334	37
335	2
336	2
337	2
340	2
341	1
342	1
343	1
344	2
345	2
346	2
347	2
348	1
349	2
350	2
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	2
359	1
360	1
361	1
362	1
363	0
364	1
365	1
366	1
367	1
368	1
369	1
370	1
371	1
372	21
373	9
374	1
376	1
377	2
378	2
380	1
381	1
382	1
383	1
384	3
385	1
386	1
387	1
388	1
389	1
390	1
391	1
392	1
393	1
394	0
395	1
396	1
397	1
398	1
399	1
400	1
401	14
402	1
403	1
405	1
406	1
407	1
408	1
409	1
410	1
504	3
505	1
506	2
507	2
508	1
509	1
515	3
516	1
517	2
518	1
519	0
601	2
602	2
603	2
604	0
605	1
606	0
