	communities
1	13
2	5
3	3
4	5
5	5
6	5
7	0
8	0
9	6
10	0
11	9
12	2
13	0
14	7
15	2
16	0
17	2
18	2
19	2
20	0
21	3
22	0
23	0
24	2
25	2
26	0
27	0
28	0
29	3
30	0
31	0
32	4
33	4
34	4
35	2
36	2
37	4
38	2
39	2
40	3
41	2
42	2
43	2
44	2
45	2
46	0
47	2
48	2
49	2
50	2
51	2
52	2
53	2
54	2
55	2
56	2
57	2
58	2
59	2
60	2
61	2
62	2
63	2
64	2
65	4
66	2
67	2
68	2
70	0
71	3
72	1
73	0
74	0
75	0
76	0
77	0
78	0
79	10
80	0
81	0
82	2
83	5
84	6
85	2
86	14
87	0
88	0
89	0
90	0
91	0
92	4
93	4
94	0
95	3
96	1
97	11
98	4
99	1
100	4
101	3
102	3
103	3
104	4
105	3
106	3
107	3
108	3
109	2
110	3
111	2
112	4
113	2
115	5
118	1
124	5
127	0
128	3
129	3
130	0
131	0
132	0
133	1
134	7
135	1
136	3
137	3
138	3
139	3
140	0
141	0
142	3
143	1
144	0
145	7
146	0
147	3
148	3
150	1
152	1
153	6
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	0
162	1
163	1
164	1
165	0
166	1
167	3
168	1
169	1
170	1
171	1
172	1
173	1
174	3
175	1
176	1
177	3
178	1
179	1
180	3
181	1
182	0
183	1
184	1
185	1
186	0
187	0
188	1
189	7
190	0
191	0
192	1
193	3
194	0
195	1
196	1
197	0
198	3
199	0
200	1
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	2
209	0
210	2
211	0
212	0
213	2
214	0
215	2
216	1
217	0
218	2
219	0
220	0
221	2
222	2
223	2
224	0
225	2
226	8
227	0
228	0
229	2
230	0
231	4
232	1
233	4
234	4
235	2
236	2
237	4
238	4
239	2
240	2
241	4
242	4
243	4
244	2
245	2
246	2
247	0
248	2
249	2
250	3
251	1
252	2
253	1
254	2
255	2
256	2
257	2
258	2
259	2
260	2
261	2
262	2
263	2
264	2
265	2
266	2
267	2
268	2
269	2
270	2
271	0
272	6
273	1
274	0
275	0
276	6
277	0
278	6
279	2
280	0
281	0
282	0
283	2
284	0
285	0
286	0
287	7
288	0
289	4
290	0
291	12
292	16
293	0
294	4
295	6
296	3
297	4
298	4
299	0
300	3
301	6
302	4
303	3
304	3
305	3
306	3
307	3
308	3
309	3
310	3
311	3
312	3
313	3
314	8
315	3
316	3
317	2
318	3
323	1
324	1
331	5
332	3
333	3
334	0
335	6
336	0
337	0
339	1
340	1
341	1
342	3
343	1
344	3
345	3
346	0
347	0
348	1
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	3
359	0
360	3
361	3
362	4
363	1
364	1
365	3
366	1
367	1
368	1
369	4
370	1
371	1
372	1
373	1
374	1
375	1
376	0
377	1
378	1
379	1
380	1
381	1
382	1
383	1
384	3
385	1
386	1
387	1
388	1
389	1
390	0
391	3
392	0
393	0
394	0
395	1
396	1
397	1
398	3
399	1
400	1
401	4
402	8
403	15
404	2
405	5
406	5
407	1
408	1
409	1
504	3
505	3
506	3
507	3
508	5
509	1
511	3
515	8
516	3
517	3
518	3
519	5
601	5
602	1
603	1
604	1
605	1
606	1
