	communities
1	2
2	2
3	2
4	0
5	2
6	2
7	2
8	0
9	2
10	0
11	0
12	2
13	0
14	2
15	2
16	0
17	4
18	0
19	2
20	4
21	0
22	0
23	2
24	0
25	0
26	0
27	2
28	2
29	0
30	0
31	2
32	0
33	0
34	0
35	0
36	0
37	1
38	14
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	26
70	2
71	1
72	4
73	2
74	0
75	2
76	0
77	1
78	2
79	0
80	2
81	2
82	2
83	8
84	0
85	0
86	24
87	2
88	2
89	2
90	2
91	2
92	0
93	1
94	0
95	0
96	1
97	9
98	0
99	3
100	0
101	0
102	0
103	0
104	0
105	0
106	2
107	0
108	0
109	0
110	0
111	2
112	29
113	0
114	1
115	17
116	12
117	15
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	2
128	1
129	1
130	1
131	1
132	2
133	2
134	19
135	1
136	1
137	2
138	2
139	2
140	1
141	2
142	2
143	3
144	2
145	1
146	2
147	1
148	2
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	2
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	11
171	1
172	0
173	1
174	1
175	3
176	1
177	3
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	2
187	2
188	1
189	0
190	2
191	2
192	1
193	1
194	2
195	1
196	1
197	2
198	1
199	1
200	1
201	2
202	2
203	2
204	2
205	0
206	0
207	1
208	2
209	25
210	2
211	0
212	0
213	2
214	0
215	0
216	32
217	0
218	2
219	0
220	0
221	2
222	2
223	0
224	0
225	0
226	0
227	2
228	0
229	0
230	2
231	0
232	1
233	0
234	0
235	0
236	0
237	0
238	1
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	20
272	1
273	1
274	2
275	2
276	0
277	2
278	2
279	2
280	2
281	2
282	2
283	0
284	2
285	2
286	2
287	13
288	2
289	0
290	2
291	2
292	3
293	2
294	1
295	1
296	1
297	0
298	0
299	0
300	0
301	2
302	3
303	0
304	0
305	0
306	2
307	0
308	0
309	0
310	2
311	3
312	0
313	0
314	1
315	0
316	0
317	0
318	3
319	10
320	31
321	23
322	7
323	30
324	1
325	1
326	1
327	1
328	1
329	1
330	18
331	1
332	1
333	2
334	2
335	2
336	2
337	2
338	1
339	2
340	3
341	28
342	1
343	21
344	0
345	0
346	5
347	2
348	1
349	2
350	1
351	2
352	1
353	2
354	2
355	2
356	35
357	1
358	6
359	2
360	3
361	2
362	1
363	1
364	1
365	1
366	1
367	1
368	1
369	1
370	1
371	1
372	1
373	1
374	1
375	1
376	22
377	16
378	34
379	3
380	1
381	1
382	1
383	1
384	1
385	1
386	1
387	1
388	33
389	1
390	1
391	1
392	2
393	2
394	2
395	1
396	1
397	1
398	1
399	1
400	2
401	0
402	0
403	2
405	2
406	2
407	1
408	1
409	2
504	1
505	2
506	2
507	3
508	1
509	27
511	3
515	2
516	2
517	2
518	3
519	1
521	3
601	0
602	1
603	1
604	1
605	3
606	1
