	participation_coeff	within_module_degree_zscore
2	0.7556768615176737	-1.356346822972776
3	0.4603739844140654	-0.18389128206916555
4	0.8168629470733908	0.11239113950474096
5	0.5388852442667669	-0.6949693687779227
6	0.3627746169466468	0.03198095432674537
7	0.6720020884976488	-0.876385089424157
8	0.36593963909289584	0.553259241524037
9	0.4727844360525111	-0.44919863113237923
10	0.6388197983696343	-1.1123892476036004
11	0.3304893608801662	1.10383870654623
12	0.3739382027964119	-0.37635244033200127
13	0.7005360787109838	-0.7678227590019181
14	0.26872000856661327	-0.025704109624999
15	0.321122574584209	0.5471483355706379
16	0.7422009490866968	-1.5917490315723157
18	0.3021672172571327	1.1144244494116617
19	0.2580855425112225	0.5685209397524392
20	0.5605299709507074	-0.34579759474195915
21	0.4849422615422717	-0.03168396331473487
22	0.7288542291211048	0.7092830988833204
24	0.2851857533273081	0.8251682660617821
25	0.4122432848022055	0.9480137148251456
26	0.8416340951096826	0.5786551299057405
27	0.5947951232630333	-0.8096881075194848
28	0.7166775498326975	-2.1175783693419414
29	0.47260510459572047	-0.22324116321134937
30	0.7271538849010972	-0.16052366863912818
31	0.7417816658288652	-0.2243115593793171
32	0.7010885799139978	-1.1500882175493985
33	0.7823659816354922	-2.3865763602895536
34	0.6025906905923603	-0.9372205713544204
35	0.7100226264779015	-1.317115316179899
36	0.6047278883007816	-1.6706946355836363
38	0.695962837297181	-1.482261135431875
41	0.6808126986923028	-1.981585274762246
49	0.3630452564513842	1.4448178911047427
54	0.6316742165380473	0.07346058743414764
55	0.42683905703206304	1.3691689675169958
56	0.4095110470131317	1.68541983797586
63	0.7201776847742309	-0.7244206408630387
64	0.5118822302903127	0.8333992631121683
70	0.4404404371745869	-0.36945480662724417
73	0.8152176576497802	-1.355002070097192
75	0.7223630921793474	0.48806302701957066
77	0.6048828263592507	-0.06838094885414583
78	0.6937603031864474	-1.2279063045936252
81	0.6619371168596955	1.0691283316688291
82	0.6974977087524326	-0.26883582353673846
83	0.6345998314671117	2.1102572271080122
84	0.691699999000954	0.5089598161569738
85	0.6877612753743658	-0.04465046120737943
87	0.421144020597258	0.7556921245882252
88	0.4700839242862147	0.6457187803288444
90	0.5858285146696101	-0.177246110453606
97	0.7658699014316925	1.0792588633046527
98	0.8519824379362623	-0.9034159965763731
99	0.8988771869172952	0.0
100	0.6675293062018116	-0.976668854017168
101	0.8227670343008099	-1.3406335759014394
102	0.8297894335797873	0.0
103	0.8799170249616433	0.0
105	0.8612784742981124	0.0
106	0.6400840635854952	-0.7565791906041515
107	0.4913412124149237	-0.07082959694701653
108	0.3014189752345663	1.5090924494108473
109	0.3584544117866332	1.5234405766195904
110	0.3738670773885282	1.2320374422823606
111	0.5876819129134607	0.06048438426644625
112	0.7487992054367323	0.47746733510027856
114	0.7116695774478576	0.5181340137207446
124	0.6235437200978964	-1.739250769251299
125	0.7261609640875138	0.8687183287595205
127	0.7290729009480034	-0.5034893420936076
134	0.7999450080895454	-0.9407200073960779
135	0.761616219244891	-0.4760986111287309
137	0.7846233103579007	0.09611299668481735
138	0.713331576924147	-1.0478006093782783
139	0.782123692030464	-0.3483952251367753
140	0.6602738769968219	-0.3904499484993339
141	0.45991465293148115	0.5176293362613692
142	0.6291569707295763	-1.706259094618988
