	test	p_values	under_0.05_thresholded_bonferroni	displacement_avg_difference
0	max(PC)	0.2996700329967003	False	0.0017213606633570385
1	median(PC)	0.0020997900209979003	True	0.013011462023343957
2	max(z)	0.49575042495750427	False	9.815281144629687e-05
3	median(z)	0.7477252274772522	False	-0.015416456216390482
