	abbr	color	name	xyz
124		#dcf9a5	7Networks_LH_Limbic_TempPole_6	
125		#dcf9a6	7Networks_LH_Limbic_TempPole_7	
126		#dcf9a7	7Networks_LH_Limbic_TempPole_8	
127		#e69421	7Networks_LH_Cont_Par_1	
128		#e69423	7Networks_LH_Cont_Par_2	
129		#e69424	7Networks_LH_Cont_Par_3	
130		#e69425	7Networks_LH_Cont_Par_4	
131		#e69426	7Networks_LH_Cont_Par_5	
132		#e69427	7Networks_LH_Cont_Par_6	
133		#e69428	7Networks_LH_Cont_Temp_1	
134		#e69520	7Networks_LH_Cont_PFCl_1	
135		#e69521	7Networks_LH_Cont_PFCl_2	
136		#e69522	7Networks_LH_Cont_PFCl_3	
137		#e69524	7Networks_LH_Cont_PFCl_4	
138		#e69525	7Networks_LH_Cont_PFCl_5	
139		#e69526	7Networks_LH_Cont_PFCl_6	
140		#e69527	7Networks_LH_Cont_PFCl_7	
141		#e69528	7Networks_LH_Cont_PFCl_8	
142		#e69529	7Networks_LH_Cont_PFCl_9	
143		#e79424	7Networks_LH_Cont_PFCv_1	
144		#e79523	7Networks_LH_Cont_pCun_1	
145		#e79524	7Networks_LH_Cont_pCun_2	
146		#e79525	7Networks_LH_Cont_Cing_1	
147		#e79526	7Networks_LH_Cont_Cing_2	
148		#e69422	7Networks_LH_Cont_PFCmp_1	
149		#cd3e48	7Networks_LH_Default_Temp_1	
150		#cd3e49	7Networks_LH_Default_Temp_2	
151		#cd3e4a	7Networks_LH_Default_Temp_3	
152		#cd3e4b	7Networks_LH_Default_Temp_4	
153		#cd3e4c	7Networks_LH_Default_Temp_5	
154		#cd3e4d	7Networks_LH_Default_Temp_6	
155		#cd3e4e	7Networks_LH_Default_Temp_7	
156		#cd3e50	7Networks_LH_Default_Temp_8	
157		#cd3e51	7Networks_LH_Default_Temp_9	
158		#cd3e52	7Networks_LH_Default_Temp_10	
159		#cd3e53	7Networks_LH_Default_Temp_11	
160		#cd3e54	7Networks_LH_Default_Temp_12	
161		#cd3e55	7Networks_LH_Default_Temp_13	
162		#cd3e56	7Networks_LH_Default_Temp_14	
163		#cd3f4f	7Networks_LH_Default_Temp_15	
164		#cd3f50	7Networks_LH_Default_Temp_16	
165		#cd3f51	7Networks_LH_Default_Temp_17	
166		#cd3f47	7Networks_LH_Default_PFC_1	
167		#cd3f48	7Networks_LH_Default_PFC_2	
168		#cd3f49	7Networks_LH_Default_PFC_3	
169		#cd3f4a	7Networks_LH_Default_PFC_4	
170		#cd3f4b	7Networks_LH_Default_PFC_5	
171		#cd3f4c	7Networks_LH_Default_PFC_6	
172		#cd3f4d	7Networks_LH_Default_PFC_7	
173		#cd3f52	7Networks_LH_Default_PFC_8	
174		#cd3f53	7Networks_LH_Default_PFC_9	
175		#cd3f54	7Networks_LH_Default_PFC_10	
176		#cd3f55	7Networks_LH_Default_PFC_11	
177		#cd404e	7Networks_LH_Default_PFC_12	
178		#cd404f	7Networks_LH_Default_PFC_13	
179		#cd4050	7Networks_LH_Default_PFC_14	
180		#cd4051	7Networks_LH_Default_PFC_15	
181		#cd4052	7Networks_LH_Default_PFC_16	
182		#cd4053	7Networks_LH_Default_PFC_17	
183		#cd4054	7Networks_LH_Default_PFC_18	
184		#cd4055	7Networks_LH_Default_PFC_19	
185		#cd414e	7Networks_LH_Default_PFC_20	
186		#cd414f	7Networks_LH_Default_PFC_21	
187		#cd4150	7Networks_LH_Default_PFC_22	
188		#cd4151	7Networks_LH_Default_PFC_23	
189		#cd4152	7Networks_LH_Default_PFC_24	
190		#cd3f4e	7Networks_LH_Default_PCC_1	
191		#cd3f56	7Networks_LH_Default_PCC_2	
192		#cd4056	7Networks_LH_Default_PCC_3	
193		#cd4153	7Networks_LH_Default_PCC_4	
194		#cd4154	7Networks_LH_Default_PCC_5	
195		#cd4155	7Networks_LH_Default_PCC_6	
196		#cd4156	7Networks_LH_Default_PCC_7	
197		#cd424f	7Networks_LH_Default_PCC_8	
198		#cd4250	7Networks_LH_Default_PCC_9	
199		#cd4251	7Networks_LH_Default_PCC_10	
200		#cd4252	7Networks_LH_Default_PCC_11	
201		#7c1182	7Networks_RH_Vis_1	
202		#7c1183	7Networks_RH_Vis_2	
203		#7c1184	7Networks_RH_Vis_3	
204		#7c1185	7Networks_RH_Vis_4	
205		#7c1186	7Networks_RH_Vis_5	
206		#7c1187	7Networks_RH_Vis_6	
207		#7c1280	7Networks_RH_Vis_7	
208		#7c1281	7Networks_RH_Vis_8	
209		#7c1282	7Networks_RH_Vis_9	
210		#7c1283	7Networks_RH_Vis_10	
211		#7c1284	7Networks_RH_Vis_11	
212		#7c1285	7Networks_RH_Vis_12	
213		#7c1286	7Networks_RH_Vis_13	
214		#7c1288	7Networks_RH_Vis_14	
215		#7c1289	7Networks_RH_Vis_15	
216		#7c128a	7Networks_RH_Vis_16	
